scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
first_connection_1500ms,2,aria2,1.983,4,4,0,16842752,16777216
first_connection_1500ms,2,unpooled,1.953,16,16,0,16777216,16777216
first_connection_1500ms,3,batched,1.947,7,7,0,16777216,16777216
first_connection_1500ms,3,pooled_batched,1.938,4,7,0,16777216,16777216
first_connection_1500ms,3,aria2,1.964,4,4,0,16842752,16777216
first_connection_1500ms,3,unpooled,1.954,16,16,0,16777216,16777216
first_connection_1500ms,3,pooled,1.935,4,16,0,16777216,16777216
first_connection_1500ms,4,pooled_batched,1.956,4,7,0,16777216,16777216
first_connection_1500ms,4,aria2,1.983,4,4,0,16842752,16777216
first_connection_1500ms,4,unpooled,1.952,16,16,0,16777216,16777216
first_connection_1500ms,4,pooled,1.942,4,16,0,16777216,16777216
first_connection_1500ms,4,batched,1.939,7,7,0,16777216,16777216
first_connection_1500ms,5,aria2,1.969,4,4,0,16842752,16777216
first_connection_1500ms,5,unpooled,1.949,16,16,0,16777216,16777216
first_connection_1500ms,5,pooled,1.956,4,16,0,16777216,16777216
first_connection_1500ms,5,batched,1.946,7,7,0,16777216,16777216
first_connection_1500ms,5,pooled_batched,1.959,4,7,0,16777216,16777216
