round,policy,seconds,bytes,sha256
1,aria2,104.432,64469455,2132eda841919e4de7c8a77a0a47ab9f117310a785562905b932bebc141c2c7c
1,unpooled,117.801,64469455,2132eda841919e4de7c8a77a0a47ab9f117310a785562905b932bebc141c2c7c
1,pooled,122.685,64469455,2132eda841919e4de7c8a77a0a47ab9f117310a785562905b932bebc141c2c7c
1,batch4,167.312,64469455,2132eda841919e4de7c8a77a0a47ab9f117310a785562905b932bebc141c2c7c
1,batch8,110.249,64469455,2132eda841919e4de7c8a77a0a47ab9f117310a785562905b932bebc141c2c7c
