scenario,round,mode,seconds,requests,tail_attempts,verified_bytes
tail,1,adaptive,10.375,40,4,134217728
tail,1,hedging,10.635,38,2,134217728
tail,2,adaptive,10.727,40,4,134217728
tail,2,hedging,10.688,38,2,134217728
tail,3,hedging,10.735,38,2,134217728
tail,3,adaptive,10.866,39,4,134217728
