scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
setup100_response25,6,batched,0.411,7,7,0,16777216,16777216
setup100_response25,6,pooled_batched,0.270,4,7,0,16777216,16777216
setup100_response25,6,pooled_batch8,0.273,4,6,0,16777216,16777216
setup100_response25,7,unpooled,0.667,16,16,0,16777216,16777216
setup100_response25,7,pooled,0.325,4,16,0,16777216,16777216
setup100_response25,7,batched,0.405,7,7,0,16777216,16777216
setup100_response25,7,pooled_batched,0.275,4,7,0,16777216,16777216
setup100_response25,7,pooled_batch8,0.271,4,6,0,16777216,16777216
setup100_response25,7,pooled_batch16,0.278,4,5,0,16777216,16777216
setup100_response25,8,pooled,0.325,4,16,0,16777216,16777216
setup100_response25,8,batched,0.405,7,7,0,16777216,16777216
setup100_response25,8,pooled_batched,0.273,4,7,0,16777216,16777216
setup100_response25,8,pooled_batch8,0.266,4,6,0,16777216,16777216
setup100_response25,8,pooled_batch16,0.266,4,5,0,16777216,16777216
setup100_response25,8,unpooled,0.663,16,16,0,16777216,16777216
setup100_response25,9,batched,0.402,7,7,0,16777216,16777216
setup100_response25,9,pooled_batched,0.273,4,7,0,16777216,16777216
setup100_response25,9,pooled_batch8,0.271,4,6,0,16777216,16777216
setup100_response25,9,pooled_batch16,0.270,4,5,0,16777216,16777216
setup100_response25,9,unpooled,0.665,16,16,0,16777216,16777216
setup100_response25,9,pooled,0.323,4,16,0,16777216,16777216
setup100_response25,10,pooled_batched,0.309,4,7,0,16777216,16777216
setup100_response25,10,pooled_batch8,0.279,4,6,0,16777216,16777216
setup100_response25,10,pooled_batch16,0.276,5,5,0,16777216,16777216
setup100_response25,10,unpooled,0.674,16,16,0,16777216,16777216
setup100_response25,10,pooled,0.329,4,16,0,16777216,16777216
setup100_response25,10,batched,0.402,7,7,0,16777216,16777216
response100,1,unpooled,0.539,16,16,0,16777216,16777216
response100,1,pooled,0.533,4,16,0,16777216,16777216
response100,1,batched,0.338,8,8,1,16777216,16777216
response100,1,pooled_batched,0.324,5,7,0,16777216,16777216
response100,1,pooled_batch8,0.323,4,6,0,16777216,16777216
response100,1,pooled_batch16,0.221,4,5,0,16777216,16777216
response100,2,pooled,0.533,4,16,0,16777216,16777216
response100,2,batched,0.323,7,7,0,16777216,16777216
response100,2,pooled_batched,0.322,4,7,0,16777216,16777216
response100,2,pooled_batch8,0.319,5,7,0,16777216,16777216
response100,2,pooled_batch16,0.217,4,5,0,16777216,16777216
response100,2,unpooled,0.540,16,16,0,16777216,16777216
response100,3,batched,0.329,7,7,0,16777216,16777216
response100,3,pooled_batched,0.328,4,7,0,16777216,16777216
response100,3,pooled_batch8,0.324,4,6,0,16777216,16777216
response100,3,pooled_batch16,0.228,4,5,0,16777216,16777216
response100,3,unpooled,0.538,16,16,0,16777216,16777216
response100,3,pooled,0.530,4,16,0,16777216,16777216
response100,4,pooled_batched,0.328,4,8,0,16777216,16777216
response100,4,pooled_batch8,0.326,4,6,0,16777216,16777216
response100,4,pooled_batch16,0.227,4,5,0,16777216,16777216
response100,4,unpooled,0.535,16,16,0,16777216,16777216
response100,4,pooled,0.531,4,16,0,16777216,16777216
response100,4,batched,0.327,7,7,0,16777216,16777216
response100,5,pooled_batch8,0.323,4,7,0,16777216,16777216
response100,5,pooled_batch16,0.223,4,5,0,16777216,16777216
response100,5,unpooled,0.540,16,16,0,16777216,16777216
response100,5,pooled,0.528,4,17,1,16777216,16777216
response100,5,batched,0.328,7,7,0,16777216,16777216
response100,5,pooled_batched,0.333,4,8,0,16777216,16777216
response100,6,pooled_batch16,0.227,4,5,0,16777216,16777216
response100,6,unpooled,0.536,16,16,0,16777216,16777216
response100,6,pooled,0.535,4,16,0,16777216,16777216
response100,6,batched,0.325,7,7,0,16777216,16777216
response100,6,pooled_batched,0.330,4,7,0,16777216,16777216
response100,6,pooled_batch8,0.327,4,7,0,16777216,16777216
response100,7,unpooled,0.540,16,16,0,16777216,16777216
response100,7,pooled,0.532,4,16,0,16777216,16777216
response100,7,batched,0.334,7,7,0,16777216,16777216
response100,7,pooled_batched,0.322,4,7,0,16777216,16777216
response100,7,pooled_batch8,0.320,5,6,0,16777216,16777216
response100,7,pooled_batch16,0.232,5,5,0,16777216,16777216
response100,8,pooled,0.527,4,16,0,16777216,16777216
response100,8,batched,0.321,7,7,0,16777216,16777216
